Codrecurso,URLNombreCast,Nombre,URLNombreBuscador,CodCategoria,IdRecursoCategoria,IDCATEGORIA,NombreLocalidad,Tipo,Especialidad,Path,ImgFichero,DescripZona,Distancia,GEORR_X,GEORR_Y,DIPLOMACOMPROMISO
"1495","El Pozo de Beriáin","El Pozo de Beriáin","Restauracion","081002","2384","02010000","SALINAS DE PAMPLONA","Restaurantes","Asador, Asador","02\01\00\00\","1495FotoTH1.jpg","Cuenca de Pamplona","","609801","4732899","NO"
"1444","El Prado","El Prado","Restauracion","081005","2333","02010000","ORKOIEN","Restaurantes","Casera o regional","02\01\00\00\","1444FotoTH1.jpg","Cuenca de Pamplona","","606727","4741953","NO"
"1727","El Recreo","El Recreo","Restauracion","081101                                            ","2616","02020000","PAMPLONA","Cafeterías","","","","Cuenca de Pamplona","","610071","4740087","NO"
"1429","El Redin","El Redin","Restauracion","081005","2318","02010000","PAMPLONA","Restaurantes","Casera o regional","","","Cuenca de Pamplona","","610784","4741602","NO"
"1415","El Respiro","El Respiro","Restauracion","081005","2304","02010000","TUDELA","Restaurantes","Casera o regional","02\01\00\00\","1415FotoTH1.JPG","La Ribera","","615966","4657239","NO"
"1517","El Retaco","El Retaco","Restauracion","081005","2406","02010000","PAMPLONA","Restaurantes","Internacional","02\01\00\00\","1517FotoTH1.jpg","Cuenca de Pamplona","","610437","4740252","NO"
"1095","El Rincón","El Rincón","Restauracion","081005","1984","02010000","PAMPLONA","Restaurantes","","02\01\00\00\","1095FotoTH1.jpg","Cuenca de Pamplona","","610259","4741942","NO"
"7067","El Rincón de la Joyosa","El Rincón de la Joyosa","Restauracion","081002","6960","02010000","OLITE","Restaurantes","Casera o regional","02\01\00\00\","7067FotoTH1.JPG","Zona Media","","610841","4703967","NO"
"6357","El Rincón de Peri","El Rincón de Peri","Restauracion","081002","6375","02010000","CABANILLAS","Restaurantes","Casera o regional","02\01\00\00\","6357FotoTH1.JPG","La Ribera","","622207","4654628","NO"
"1729","El Ruedo","El Ruedo","Restauracion","081101                                            ","2618","02020000","PAMPLONA","Cafeterías","","","","Cuenca de Pamplona","","611283","4741157","NO"
"1174","El Tremendo","El Tremendo","Restauracion","081005","2063","02010000","CIZUR MENOR","Restaurantes","","02\01\00\00\","1174FotoTH1.jpg","Cuenca de Pamplona","","608280","4738071","NO"
"3919","El Triguillo","El Triguillo","Restauracion","081005","2662","02010000","ARGUEDAS","Restaurantes","Casera o regional","02\01\00\00\","3919FotoTH1.jpg","La Ribera","","614876","4670987","NO"
"1099","El Txoko del Sadar","El Txoko del Sadar","Restauracion","081005","1988","02010000","PAMPLONA","Restaurantes","Asador","02\01\00\00\","1099FotoTH1.jpg","Cuenca de Pamplona","","611501","4739113","NO"
"1476","El Villano","El Villano","Restauracion","081005","2365","02010000","VIANA","Restaurantes","Casera o regional","02\01\00\00\","1476FotoTH1.JPG","Zona Media","","551558","4707101","NO"
"1100","El Volante","El Volante","Restauracion","081005","1989","02010000","ESTELLA-LIZARRA","Restaurantes","Casera o regional","02\01\00\00\","1100FotoTH1.jpg","Zona Media","","579295","4723912","NO"
"5988","El Volante","El Volante","Restauracion","","5913","02030000","ESTELLA-LIZARRA","Bares de pinchos","","02\03\00\00\","5988FotoTH1.JPG","Zona Media","","579335","4723841","NO"
"3764","Elosta","Elosta","Restauracion","","3018","02040000","LEKUNBERRI","Restaurantes","Casera o regional","01\01\03\00\","3764FotoTH1.jpg","Pirineos","","589989","4761940","NO"
"1267","Enekorri","Enekorri","Restauracion","081004","2156","02010000","PAMPLONA","Restaurantes","De autor, Innovadora","02\01\00\00\","1267FotoTH1.jpg","Cuenca de Pamplona","","610839","4740831","NO"
"1076","Erburu","Erburu","Restauracion","081005","1965","02010000","PAMPLONA","Restaurantes","","02\01\00\00\","1076FotoTH1.jpg","Cuenca de Pamplona","","610446","4741450","NO"
"1127","Erdialde","Erdialde","Restauracion","081001","2016","02010000","GARDE","Restaurantes","","02\01\00\00\","1127FotoTH1.jpg","Pirineos","","669759","4739424","NO"
"3954","Errialde","Errialde","Restauracion","081005","2692","02010000","VILLAVA","Restaurantes","Casera o regional","02\01\00\00\","3954FotoTH1.jpg","Cuenca de Pamplona","","613637","4743120","NO"
"1520","Errota","Errota","Restauracion","081005","2409","02010000","RONCAL","Restaurantes","Casera o regional","02\01\00\00\","1520FotoTH1.jpg","Pirineos","","667205","4741567","NO"
"4399","Errotaberri","Errotaberri","Restauracion","081001","2724","02010000","GARRALDA","Restaurantes","Asador, Casera o regional, Casera o regional","02\01\00\00\","4399FotoTH1.jpg","Pirineos","","639485","4756397","NO"
"231","Eseverry","Eseverry","Restauracion","","2989","02040000","JAURRIETA","Restaurantes","Casera o regional","01\01\03\00\","231FotoTH1.jpg","Pirineos","","652357","4749896","NO"
